"48"	"48"	"situation"	"4"	"更地"	"2017-11-24 08:47:01.565265"	"2017-11-24 08:47:01.565265"
"49"	"49"	"situation"	"5"	"上物有"	"2017-11-24 08:47:27.366358"	"2017-11-24 08:47:27.366358"
"50"	"50"	"transfer"	"0"	"即時"	"2017-11-24 08:48:02.040783"	"2017-11-24 08:48:02.040783"
"51"	"51"	"transfer"	"1"	"相談"	"2017-11-24 08:48:16.382390"	"2017-11-24 08:48:16.382390"
"52"	"52"	"transfer"	"2"	"期日指定"	"2017-11-24 08:48:33.527294"	"2017-11-24 08:48:33.527294"
"53"	"53"	"transfer"	"4"	"予定"	"2017-11-24 08:49:05.369601"	"2017-11-24 08:49:05.369601"
"54"	"54"	"remuneration"	"0"	"分かれ"	"2017-11-24 08:49:40.060791"	"2017-11-24 08:49:40.060791"
"55"	"55"	"remuneration"	"1"	"当方不払"	"2017-11-24 08:49:59.385394"	"2017-11-24 08:49:59.385394"
"56"	"56"	"remuneration"	"2"	"当方片手数料"	"2017-11-24 08:50:30.262269"	"2017-11-24 08:50:54.325768"
"57"	"57"	"remuneration"	"3"	"代理折半"	"2017-11-24 08:52:27.059646"	"2017-11-24 08:52:27.059646"
"58"	"58"	"remuneration"	"5"	"相談"	"2017-11-24 08:52:42.257895"	"2017-11-24 08:52:42.257895"
"59"	"59"	"town_plan"	"0"	"市街"	"2017-11-24 08:53:17.130655"	"2017-11-24 08:53:17.130655"
"60"	"60"	"town_plan"	"1"	"調整"	"2017-11-24 08:53:30.529873"	"2017-11-24 08:53:30.529873"
"61"	"61"	"town_plan"	"2"	"非線引き"	"2017-11-24 08:53:46.969420"	"2017-11-24 08:53:46.969420"
"62"	"62"	"town_plan"	"3"	"域外"	"2017-11-24 08:54:02.528728"	"2017-11-24 08:54:02.528728"
"63"	"63"	"town_plan"	"4"	"準都市"	"2017-11-24 08:54:29.297966"	"2017-11-24 08:54:29.297966"
"64"	"64"	"landcategory"	"0"	"宅地"	"2017-11-24 08:54:51.493204"	"2017-11-24 08:54:51.493204"
"65"	"65"	"landcategory"	"1"	"田"	"2017-11-24 08:55:09.433214"	"2017-11-24 08:55:09.433214"
"66"	"66"	"landcategory"	"2"	"畑"	"2017-11-24 08:55:23.095941"	"2017-11-24 08:55:23.095941"
"67"	"67"	"landcategory"	"3"	"山林"	"2017-11-24 08:55:47.370095"	"2017-11-24 08:55:47.370095"
"68"	"68"	"landcategory"	"4"	"雑種"	"2017-11-24 08:56:02.850270"	"2017-11-24 08:56:02.850270"
"69"	"69"	"landcategory"	"5"	"他"	"2017-11-24 08:56:19.107767"	"2017-11-24 08:56:19.107767"
"70"	"70"	"zoning"	"0"	"一低"	"2017-11-24 08:56:59.166677"	"2017-11-24 08:56:59.166677"
"71"	"71"	"zoning"	"1"	"二中"	"2017-11-24 08:57:12.423118"	"2017-11-24 08:57:12.423118"
"72"	"72"	"zoning"	"2"	"二住"	"2017-11-24 08:57:32.626611"	"2017-11-24 08:57:32.626611"
"73"	"73"	"zoning"	"3"	"近商"	"2017-11-24 08:58:22.394319"	"2017-11-24 08:58:22.394319"
"74"	"74"	"zoning"	"4"	"商業"	"2017-11-24 08:58:36.279381"	"2017-11-24 08:58:36.279381"
"75"	"75"	"zoning"	"5"	"準工"	"2017-11-24 08:58:58.077249"	"2017-11-24 08:58:58.077249"
"76"	"76"	"zoning"	"6"	"工業"	"2017-11-24 08:59:11.542098"	"2017-11-24 08:59:11.542098"
"77"	"77"	"zoning"	"7"	"工専"	"2017-11-24 08:59:31.022849"	"2017-11-24 08:59:31.022849"
"78"	"78"	"zoning"	"8"	"二低"	"2017-11-24 08:59:58.448959"	"2017-11-24 08:59:58.448959"
"79"	"79"	"zoning"	"9"	"一中"	"2017-11-24 09:00:14.999488"	"2017-11-24 09:00:14.999488"
"80"	"80"	"zoning"	"10"	"一住"	"2017-11-24 09:00:43.582242"	"2017-11-24 09:00:43.582242"
"81"	"81"	"zoning"	"11"	"準住"	"2017-11-24 09:01:03.325012"	"2017-11-24 09:01:03.325012"
"82"	"82"	"zoning"	"12"	"無指定"	"2017-11-24 09:01:25.297740"	"2017-11-24 09:01:25.297740"
"83"	"83"	"optimum_site"	"0"	"住宅用地"	"2017-11-27 02:20:11.539623"	"2017-11-27 02:20:11.539623"
"84"	"84"	"optimum_site"	"1"	"マンション用地"	"2017-11-27 02:20:39.300242"	"2017-11-27 02:20:39.300242"
"85"	"85"	"optimum_site"	"2"	"ビル用地"	"2017-11-27 02:20:58.999735"	"2017-11-27 02:20:58.999735"
"86"	"86"	"optimum_site"	"3"	"店舗用地"	"2017-11-27 02:21:17.926324"	"2017-11-27 02:21:17.926324"
"87"	"87"	"optimum_site"	"4"	"工業用地"	"2017-11-27 02:21:35.522824"	"2017-11-27 02:21:35.522824"
"88"	"88"	"optimum_site"	"5"	"配送センタ用地"	"2017-11-27 02:22:00.107792"	"2017-11-27 02:22:00.107792"
"89"	"89"	"optimum_site"	"6"	"営業所用地"	"2017-11-27 02:22:19.416099"	"2017-11-27 02:22:19.416099"
"90"	"90"	"optimum_site"	"7"	"保養所用地"	"2017-11-27 02:22:37.725854"	"2017-11-27 02:22:37.725854"
"91"	"91"	"optimum_site"	"8"	"その他用地"	"2017-11-27 02:22:57.522551"	"2017-11-27 02:22:57.522551"
"92"	"92"	"optimum_site"	"9"	"事務所用地"	"2017-11-27 02:23:18.931979"	"2017-11-27 02:23:18.931979"
"93"	"93"	"optimum_site"	"10"	"別荘用地"	"2017-11-27 02:24:43.833192"	"2017-11-27 02:24:43.833192"
"94"	"94"	"optimum_site"	"11"	"倉庫用地"	"2017-11-27 02:25:06.139496"	"2017-11-27 02:25:06.139496"
"95"	"95"	"optimum_site"	"12"	"資材置場用地"	"2017-11-27 02:25:29.500763"	"2017-11-27 02:25:29.500763"
"96"	"96"	"optimum_site"	"13"	"家庭菜園用地"	"2017-11-27 02:25:51.519624"	"2017-11-27 02:25:51.519624"
"97"	"97"	"optimum_site"	"14"	"アパート用地"	"2017-11-27 02:26:17.393633"	"2017-11-27 02:26:17.393633"
"98"	"98"	"optimum_site"	"15"	"社宅社員寮用地"	"2017-11-27 02:26:42.346801"	"2017-11-27 02:26:42.346801"
"99"	"99"	"optimum_site"	"16"	"病院診療所用地"	"2017-11-27 02:26:50.888219"	"2017-11-27 02:27:20.705799"
"100"	"100"	"optimum_site"	"17"	"畑・農地用地"	"2017-11-27 02:27:47.396066"	"2017-11-27 02:27:47.396066"
"101"	"101"	"optimum_site"	"18"	"事業用地"	"2017-11-27 02:28:05.530711"	"2017-11-27 02:28:05.530711"
"102"	"102"	"optimum_site"	"19"	"駐車場用地"	"2017-11-27 02:28:23.083662"	"2017-11-27 02:28:23.083662"
"103"	"103"	"zoning_district"	"0"	"防火"	"2017-11-27 02:29:55.527426"	"2017-11-27 02:29:55.527426"
"104"	"104"	"zoning_district"	"1"	"準防火"	"2017-11-27 02:30:13.651487"	"2017-11-27 02:30:13.651487"
"105"	"105"	"zoning_district"	"2"	"高度"	"2017-11-27 02:30:31.537973"	"2017-11-27 02:30:31.537973"
"106"	"106"	"zoning_district"	"3"	"高度利用"	"2017-11-27 02:30:51.496406"	"2017-11-27 02:30:51.496406"
"107"	"107"	"zoning_district"	"4"	"風致"	"2017-11-27 02:32:25.783756"	"2017-11-27 02:32:25.783756"
"108"	"108"	"zoning_district"	"5"	"文教"	"2017-11-27 02:32:42.643101"	"2017-11-27 02:32:42.643101"
"109"	"109"	"zoning_district"	"6"	"その他"	"2017-11-27 02:33:00.730130"	"2017-11-27 02:33:00.730130"
"110"	"110"	"nationalland_law"	"0"	" 要"	"2017-11-27 02:35:08.628358"	"2017-11-27 02:35:08.628358"
"111"	"111"	"nationalland_law"	"1"	"届出中"	"2017-11-27 02:35:24.879535"	"2017-11-27 02:35:24.879535"
"112"	"112"	"nationalland_law"	"2"	"不要"	"2017-11-27 02:35:38.796135"	"2017-11-27 02:35:38.796135"
"113"	"113"	"buildingcertification"	"0"	"済"	"2017-11-27 02:36:49.379899"	"2017-11-27 02:36:49.379899"
"114"	"114"	"buildingcertification"	"1"	"無"	"2017-11-27 02:37:06.738276"	"2017-11-27 02:37:06.738276"
"115"	"115"	"buildingcertification"	"2"	"申請中"	"2017-11-27 02:37:21.617843"	"2017-11-27 02:37:21.617843"
"116"	"116"	"land_title"	"0"	"所有権"	"2017-11-27 02:41:32.811840"	"2017-11-27 02:41:32.811840"
"117"	"117"	"land_title"	"1"	"旧法地上"	"2017-11-27 02:41:54.318415"	"2017-11-27 02:41:54.318415"
"118"	"118"	"land_title"	"2"	"旧法賃借"	"2017-11-27 02:42:23.398966"	"2017-11-27 02:42:23.398966"
"119"	"119"	"land_title"	"3"	"普通地上"	"2017-11-27 02:42:49.309133"	"2017-11-27 02:42:49.309133"
"120"	"120"	"land_title"	"4"	"定期地上"	"2017-11-27 02:43:06.864907"	"2017-11-27 02:43:06.864907"
